국가,차량 모델,연도,월,판매량,날짜,브랜드,카테고리
북미-미국,IONIQ 5,2023,6,3136,2023-06-01,현대,기타
북미-미국,IONIQ 5,2023,7,4135,2023-07-01,현대,기타
북미-미국,IONIQ 5,2023,8,3572,2023-08-01,현대,기타
북미-미국,IONIQ 5,2023,9,3958,2023-09-01,현대,기타
북미-미국,IONIQ 5,2024,10,4498,2024-10-01,현대,기타
북미-미국,IONIQ 5,2024,11,4980,2024-11-01,현대,기타
북미-미국,IONIQ 5,2024,12,4595,2024-12-01,현대,기타
북미-미국,IONIQ 5,2024,1,1465,2024-01-01,현대,기타
북미-미국,IONIQ 5,2024,2,1993,2024-02-01,현대,기타
북미-미국,IONIQ 5,2024,3,3361,2024-03-01,현대,기타
북미-미국,IONIQ 5,2024,4,3702,2024-04-01,현대,기타
북미-미국,IONIQ 5,2024,5,4434,2024-05-01,현대,기타
북미-미국,IONIQ 5,2024,6,3746,2024-06-01,현대,기타
북미-미국,IONIQ 5,2024,7,3413,2024-07-01,현대,기타
북미-미국,IONIQ 5,2024,8,4838,2024-08-01,현대,기타
북미-미국,IONIQ 5,2024,9,3326,2024-09-01,현대,기타
북미-미국,IONIQ 5,2025,1,2249,2025-01-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,10,1,2024-10-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,11,9,2024-11-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,12,1,2024-12-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,1,1,2024-01-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,2,3,2024-02-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,3,1,2024-03-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,4,1,2024-04-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,5,15,2024-05-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,6,9,2024-06-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,7,3,2024-07-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,8,1,2024-08-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2024,9,10,2024-09-01,현대,기타
북미-미국,IONIQ 5 Robo Taxi,2025,1,1,2025-01-01,현대,기타
북미-미국,IONIQ 6,2023,10,1239,2023-10-01,현대,기타
북미-미국,IONIQ 6,2023,11,1386,2023-11-01,현대,기타
북미-미국,IONIQ 6,2023,12,2056,2023-12-01,현대,기타
북미-미국,IONIQ 6,2023,1,222,2023-01-01,현대,기타
북미-미국,IONIQ 6,2023,2,222,2023-02-01,현대,기타
북미-미국,IONIQ 6,2023,3,222,2023-03-01,현대,기타
북미-미국,IONIQ 6,2023,4,890,2023-04-01,현대,기타
