국가명,공장명(국가),차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Latin America,CKD,Stonic,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD (excl. Russia),Stonic,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,Korea Plants,Stonic,127,143,260,236,125,339,249,239,177,149,158,114,2024
Latin America,Korea Plants,Stonic,117,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korean Plant,Stonic,148,238,212,373,329,245,210,164,200,132,237,194,2023
Latin America,India Plant,Syros,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,CKD,Tasman,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Korea Plants,Tasman,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Special Vehicle,Tasman,0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Special Vehicle,Tasman (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,US Plant,Telluride,12,10,6,4,1,8,5,13,7,8,2,11,2023
Latin America,US Plant,Telluride,4,13,12,16,18,15,13,18,11,16,24,13,2024
Latin America,US Plant,Telluride,8,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,China Plants,Zhipao,0,0,0,0,0,0,0,0,0,0,0,0,2023
Latin America,China Plants,Zhipao,0,0,0,0,0,0,0,0,0,0,0,0,2024
Latin America,China Plants,Zhipao,0,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico,Special Vehicle,Bongo,0,0,0,0,0,0,0,0,0,0,0,0,2023
Mexico,Special Vehicle,Bongo,0,0,0,0,0,0,0,0,0,0,0,0,2024
Mexico,Special Vehicle,Bongo,0,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico,Special Vehicle,Bongo (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Mexico,Special Vehicle,Bongo (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2024
Mexico,Special Vehicle,Bongo (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico,CKD,Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2024
Mexico,CKD,Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico,CKD (excl. Russia),Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2023
Mexico,Korea Plants,Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2024
Mexico,Korea Plants,Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico,Korean Plant,Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2023
Mexico,Korea Plants,Bongo EV,0,0,0,0,0,0,0,0,0,0,0,0,2024
