차량 모델,차량 유형,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Exter(AI3 SUV),레저용 차량,수출용,29.0,26.0,40.0,13.0,2.0,5.0,1008.0,1009.0,733.0,919.0,1165.0,553.0,2024
Venue(QXi),기타,수출용,172.0,701.0,929.0,1449.0,1279.0,1015.0,591.0,1104.0,719.0,501.0,264.0,429.0,2024
Creta(SU2i),기타,수출용,279.0,292.0,12.0,1.0,375.0,406.0,308.0,268.0,306.0,654.0,172.0,386.0,2024
Creta(SU2i LWB),기타,수출용,676.0,525.0,936.0,941.0,1189.0,1044.0,1346.0,160.0,22.0,403.0,800.0,858.0,2024
i10 (AC3),기타,내수용,114.0,181.0,179.0,217.0,20.0,3.0,270.0,206.0,106.0,177.0,259.0,142.0,2024
i20 (BC3),기타,내수용,1279.0,966.0,1529.0,1903.0,2207.0,1774.0,1043.0,1457.0,2021.0,2020.0,2195.0,3308.0,2024
Bayon (BC3 CUV),기타,내수용,1186.0,1441.0,1200.0,1157.0,1061.0,1536.0,1182.0,1141.0,1271.0,1227.0,2496.0,2686.0,2024
i20 N (BC3 N),기타,내수용,49.0,51.0,50.0,50.0,0.0,174.0,76.0,50.0,0.0,0.0,0.0,0.0,2024
i10 (AC3),기타,수출용,6778.0,6477.0,7122.0,5594.0,7113.0,6203.0,6823.0,4089.0,7427.0,7969.0,7625.0,7268.0,2024
i20 (BC3),기타,수출용,7505.0,7370.0,9268.0,4903.0,7849.0,4710.0,7167.0,4398.0,5561.0,7223.0,7929.0,7448.0,2024
Bayon (BC3 CUV),기타,수출용,4313.0,3357.0,2476.0,2523.0,4647.0,2965.0,4554.0,3320.0,3367.0,3184.0,2010.0,1358.0,2024
i20 N (BC3 N),기타,수출용,887.0,596.0,734.0,538.0,146.0,292.0,171.0,143.0,360.0,224.0,16.0,0.0,2024
Elantra (CN7c),기타,내수용,7008.0,6631.0,12105.0,5301.0,7129.0,5845.0,1803.0,3054.0,3843.0,2373.0,2396.0,3149.0,2024
Sonata (DN8c),기타,내수용,22.0,273.0,1103.0,2038.0,2088.0,1913.0,821.0,770.0,767.0,756.0,985.0,1248.0,2024
Custo (KU),레저용 차량,내수용,748.0,423.0,891.0,482.0,1047.0,905.0,635.0,851.0,1112.0,1273.0,800.0,1443.0,2024
Mufasa (NU2),기타,내수용,2595.0,2012.0,3779.0,624.0,908.0,991.0,387.0,324.0,628.0,780.0,466.0,1758.0,2024
La festa (SQ),승용차,내수용,52.0,10.0,326.0,604.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2024
Verna (YC),기타,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Celesta (ID),기타,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
