Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China,Korea
Rio,Mexico Plant,23-02,2385.0,284.0,4346.0,0.0,0.0,871.0,13.0,38.0,0.0,0.0,0.0,0.0
K3,Mexico Plant,23-02,10445.0,836.0,762.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio,Russia Plant(incl. CKD Sales),23-02,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K3 (CKD),Russia Plant(incl. CKD Sales),23-02,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soul,Russia Plant(incl. CKD Sales),23-02,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,Russia Plant(incl. CKD Sales),23-02,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,Russia Plant(incl. CKD Sales),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5,US Plant,23-02,5146.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,US Plant,23-02,7079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,US Plant,23-02,5394.0,584.0,215.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Telluride,US Plant,23-02,9023.0,430.0,0.0,0.0,0.0,10.0,191.0,0.0,0.0,0.0,0.0,0.0
Pegas,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,1740.0,1052.0,179.0,155.0,0.0,54.0,0.0
K3,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0
K3,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,0.0
K5,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
KX1,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,783.0,0.0
KX3,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,0.0
Zhipao,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.0,0.0
Sportage,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0
KX7,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
Sonet,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,China Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,India Plants,23-02,0.0,0.0,0.0,0.0,0.0,728.0,1203.0,473.0,193.0,8575.0,0.0,0.0
Seltos,India Plants,23-02,0.0,0.0,1612.0,0.0,0.0,1178.0,125.0,499.0,103.0,6727.0,0.0,0.0
Carens,India Plants,23-02,0.0,0.0,0.0,0.0,0.0,241.0,274.0,39.0,51.0,5829.0,0.0,0.0
Carnival,India Plants,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,0.0,0.0
Morning,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,274.0,0.0,0.0,0.0
Pegas,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
K3,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0
K5,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
K8,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,868.0,0.0,0.0,0.0
Stonic,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
Seltos,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0
Niro,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV6,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,31.0,0.0,414.0,0.0,285.0,0.0,0.0,0.0
Sorento,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,117.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0
Carnival,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0
Bongo,CKD (excl. Russia),23-02,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,607.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-02,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus,Special Vehicle,23-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
Morning,Korean Plant,23-03,0.0,0.0,0.0,7411.0,570.0,1903.0,1405.0,462.0,798.0,0.0,0.0,0.0
Rio,Korean Plant,23-03,0.0,0.0,0.0,3569.0,175.0,61.0,379.0,546.0,490.0,0.0,0.0,0.0
K3,Korean Plant,23-03,0.0,54.0,47.0,0.0,169.0,5.0,482.0,17.0,445.0,0.0,0.0,0.0
K5,Korean Plant,23-03,0.0,0.0,0.0,0.0,307.0,5.0,831.0,3.0,0.0,0.0,0.0,0.0
Stinger,Korean Plant,23-03,958.0,148.0,10.0,138.0,45.0,1.0,11.0,0.0,304.0,0.0,0.0,0.0
K8,Korean Plant,23-03,0.0,0.0,0.0,0.0,30.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
K9,Korean Plant,23-03,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonic,Korean Plant,23-03,0.0,0.0,0.0,6619.0,436.0,212.0,295.0,105.0,891.0,0.0,0.0,0.0
Seltos,Korean Plant,23-03,6156.0,2295.0,0.0,0.0,105.0,230.0,1001.0,0.0,1217.0,0.0,0.0,0.0
Soul,Korean Plant,23-03,6907.0,213.0,227.0,0.0,276.0,107.0,0.0,0.0,1.0,0.0,0.0,0.0
Soul,Korean Plant,23-03,0.0,43.0,0.0,248.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Niro,Korean Plant,23-03,2120.0,77.0,119.0,3740.0,18.0,66.0,231.0,39.0,178.0,0.0,0.0,0.0
Niro,Korean Plant,23-03,616.0,89.0,0.0,3633.0,37.0,9.0,37.0,10.0,122.0,0.0,0.0,0.0
Niro,Korean Plant,23-03,0.0,0.0,0.0,0.0,0.0,0.0,784.0,4.0,65.0,0.0,0.0,0.0
Niro,Korean Plant,23-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0
EV6,Korean Plant,23-03,988.0,180.0,0.0,4070.0,15.0,19.0,17.0,17.0,415.0,35.0,0.0,0.0
EV9,Korean Plant,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,Korean Plant,23-03,4654.0,1482.0,158.0,0.0,1674.0,679.0,0.0,0.0,1238.0,0.0,0.0,0.0
Sorento,Korean Plant,23-03,1877.0,166.0,0.0,1593.0,829.0,265.0,1044.0,138.0,1293.0,0.0,0.0,0.0
Mohave / Borrego,Korean Plant,23-03,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,Korean Plant,23-03,3009.0,829.0,0.0,0.0,223.0,153.0,250.0,38.0,1448.0,0.0,0.0,0.0
Bongo,Korean Plant,23-03,0.0,0.0,0.0,0.0,185.0,642.0,1019.0,289.0,372.0,0.0,0.0,0.0
Bus,Korean Plant,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceed,Slovakia Plant,23-03,0.0,0.0,0.0,8380.0,277.0,4.0,75.0,11.0,54.0,0.0,0.0,0.0
Ceed CUV,Slovakia Plant,23-03,0.0,0.0,0.0,5444.0,178.0,15.0,0.0,40.0,0.0,0.0,0.0,0.0
Sportage,Slovakia Plant,23-03,0.0,0.0,0.0,18217.0,479.0,381.0,1308.0,425.0,0.0,0.0,0.0,0.0
Rio,Mexico Plant,23-03,2439.0,421.0,4716.0,0.0,0.0,1043.0,8.0,73.0,3.0,0.0,0.0,0.0
K3,Mexico Plant,23-03,11891.0,1278.0,845.0,0.0,0.0,115.0,0.0,0.0,4.0,0.0,0.0,0.0
Rio,Russia Plant(incl. CKD Sales),23-03,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K3 (CKD),Russia Plant(incl. CKD Sales),23-03,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soul,Russia Plant(incl. CKD Sales),23-03,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,Russia Plant(incl. CKD Sales),23-03,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,Russia Plant(incl. CKD Sales),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
